City,Total Population,Median Income,Tax Rate %,Total Households,Average Household Size,Households With Children Under 18,Married Households,Co-habiting Couple Households,Female only Households,Male Only Households,Labor Force,Employed,Unemployed,Unemployed Rate (%),Grade < 9,Grade 9-12,Highschool Diploma,Some College,Associate Degree,Undergraduate Degree,Graduate Degree,Grade < 9 (%),Grade 9-12 (%),Highschool Diploma (%),Some College (%),Associate Degree (%),Undergraduate Degree (%),Graduate Degree (%),0-15 (%),15-17 (%),18-24 (%),25-34 (%),35-54 (%),55-64 (%),65+ (%),0 to 15,15 to 17,18 to 24,25 to 34,35 to 54,55 to 64,65 plus
Whittier,87306,89686,10.25,27489,3.08,8355,13798,2279,6979,4433,43100,40700,2500,5.7,3210,3339,16431,13625,5301,9321,5920,5.6,5.8,28.8,23.8,9.3,16.3,10.4,18.71,4.1,9.63,13.21,27.82,12.14,14.4,16176,3548,8322,11417,24049,10493,12454
Alhambra,82868,80234,10.25,30054,2.71,7500,13879,2057,8633,5485,46400,44100,2300,5,6379,4412,13808,10717,4918,15378,7640,10.1,7,21.8,16.9,7.8,24.3,12.1,14.48,3.27,6.91,15.95,27.73,13.17,18.5,11914,2689,5683,13125,22821,10842,15221
Lakewood,82496,77702,10.25,26388,3.08,7998,14981,1423,6466,3518,42500,40300,2300,5.3,2765,2457,12129,14490,6423,12275,5014,5,4.4,21.8,26.1,11.6,22.1,9,17.44,3.06,8.95,14.94,27.47,14.03,14.11,14212,2497,7294,12177,22387,11434,11498
Bellflower,79190,53935,10.25,24065,3.22,8122,10795,2043,7015,4212,36300,33900,2400,6.7,6006,5709,12809,12593,4277,6551,2346,11.9,11.4,25.5,25,8.5,13,4.7,19.42,4.15,8.85,16.77,26.93,11.72,12.17,15215,3250,6931,13136,21098,9184,9538
Baldwin Park,72176,76002,10.25,18022,3.95,5758,9380,1523,4242,2877,34600,32500,2100,6,10822,6268,14928,9434,2481,5691,1028,21.4,12.4,29.5,18.6,4.9,11.2,2,17.38,3.85,11.77,14.33,27.12,12.09,13.46,12459,2761,8441,10277,19441,8664,9649
Redondo Beach,71576,134033,9.5,28562,2.45,8433,13622,2535,6706,5699,41000,38900,2100,5.1,683,785,5006,8000,3836,19146,11226,1.4,1.6,10.3,16.4,7.9,39.3,23.1,19.9,3.03,5.01,13.5,31.38,13.2,13.98,14056,2137,3539,9534,22159,9322,9873
Montebello,62640,72317,10.25,19241,3.2,5275,8112,1707,5746,3676,29000,27200,1800,6.2,5366,5584,11619,8952,3416,6064,2306,12.4,12.9,26.8,20.7,7.9,14,5.3,17.23,3.66,9.18,16.22,24.85,11.75,17.1,10695,2271,5696,10068,15422,7290,10614
Pico Rivera,62088,82539,10.25,16665,3.66,4484,8867,1153,4209,2436,30200,28300,1900,6.4,7679,4670,13127,8747,2941,4256,1570,17.9,10.9,30.5,20.3,6.8,9.9,3.7,16.25,4.62,10.25,13.86,26.21,13.23,15.58,10006,2847,6307,8534,16133,8143,9591
Florence-Graham,61983,58200,9.5,14630,4.31,6243,7080,1865,3453,2232,28600,26200,2400,8.4,12295,6956,9133,5377,1382,1867,469,32.8,18.6,24.4,14.3,3.7,5,1.3,23.7,5.49,11.76,16.04,25.33,9.73,7.97,14961,3463,7422,10127,15989,6141,5029
Monterey Park,61096,76892,10.25,20416,2.94,4888,10373,967,5610,3466,29300,27800,1500,5.1,6249,3208,10769,7085,3185,10475,4579,13.7,7,23.6,15.6,7,23,10.1,13.68,3.52,7.4,13.89,26.02,13.94,21.54,8263,2124,4471,8385,15714,8419,13010
Gardena,61027,75443,10.25,20758,2.87,5558,9201,1523,6540,3494,30300,28400,1800,6.1,3858,3468,10562,10228,3476,8237,3224,9,8.1,24.5,23.8,8.1,19.1,7.5,16.75,3.2,8.19,15.41,26.46,13.52,16.47,10115,1930,4945,9305,15974,8161,9947
